EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,ABM
1612518801702343544,IMBALANCE,"[141, 150]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518918573901746,BID_DEPTH,"[(99964, 116)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518918573901746,ASK_DEPTH,"[(99965, 112)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612518918573901746,IMBALANCE,"[116, 112]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519008401500149,BID_DEPTH,"[(99970, 227)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519008401500149,ASK_DEPTH,"[(99976, 100)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519008401500149,IMBALANCE,"[227, 100]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519016429105576,BID_DEPTH,"[(99973, 100)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519016429105576,ASK_DEPTH,"[(99976, 200)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519016429105576,IMBALANCE,"[100, 200]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519025654062268,BID_DEPTH,"[(99971, 318)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519025654062268,ASK_DEPTH,"[(99972, 200)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519025654062268,IMBALANCE,"[318, 200]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519031031224361,BID_DEPTH,"[(99971, 318)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519031031224361,ASK_DEPTH,"[(99972, 200)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519031031224361,IMBALANCE,"[318, 200]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519125270170772,BID_DEPTH,"[(99977, 93)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519125270170772,ASK_DEPTH,"[(99978, 148)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519125270170772,IMBALANCE,"[93, 148]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519129580117281,BID_DEPTH,"[(99978, 52)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519129580117281,ASK_DEPTH,"[(99979, 59)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519129580117281,IMBALANCE,"[52, 59]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519172821819917,BID_DEPTH,"[(99985, 37)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519172821819917,ASK_DEPTH,[],1105,MomentumAgent,,,,,,,,,,,,,,
1612519172821819917,IMBALANCE,"[37, 0]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519181685371632,BID_DEPTH,"[(99983, 113)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519181685371632,ASK_DEPTH,"[(99984, 199)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519181685371632,IMBALANCE,"[113, 199]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519207066222497,BID_DEPTH,"[(99985, 37)]",1105,MomentumAgent,,,,,,,,,,,,,,
1612519207066222497,ASK_DEPTH,[],1105,MomentumAgent,,,,,,,,,,,,,,
