,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,order_fee,ABM,SubmittedOrders,PaidFees,spread
12,1612517489512876035,ORDER_EXECUTED,,412,NoiseAgent,,2021-02-05 09:31:24,ABM,100.0,Side.ASK,644.0,99958.0,,99958.0,False,False,False,False,1190.0,,,,
14,1612517498720087785,ORDER_EXECUTED,,412,NoiseAgent,,2021-02-05 09:31:24,ABM,24.0,Side.ASK,644.0,99958.0,,99958.0,False,False,False,False,1190.0,,,,
6,0,ORDER_SUBMITTED,,416,NoiseAgent,,2021-02-05 09:42:13,ABM,100.0,Side.BID,1034.0,,,99927.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,416,NoiseAgent,,2021-02-05 09:42:13,ABM,99.0,Side.BID,1034.0,99927.0,,99927.0,False,False,False,False,0.0,,,,
10,0,ORDER_EXECUTED,,416,NoiseAgent,,2021-02-05 09:42:13,ABM,1.0,Side.BID,1034.0,99927.0,,99927.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,417,NoiseAgent,,2021-02-05 09:13:33,ABM,100.0,Side.ASK,266.0,,,99995.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,417,NoiseAgent,,2021-02-05 09:13:33,ABM,90.0,Side.ASK,266.0,99995.0,,99995.0,False,False,False,False,0.0,,,,
10,0,ORDER_EXECUTED,,417,NoiseAgent,,2021-02-05 09:13:33,ABM,10.0,Side.ASK,266.0,99995.0,,99995.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,425,NoiseAgent,,2021-02-05 09:39:28,ABM,20.0,Side.ASK,900.0,,,99926.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,425,NoiseAgent,,2021-02-05 09:39:28,ABM,20.0,Side.ASK,900.0,99926.0,,99926.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,428,NoiseAgent,,2021-02-05 09:18:00,ABM,5.0,Side.ASK,358.0,,,99916.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,428,NoiseAgent,,2021-02-05 09:18:00,ABM,5.0,Side.ASK,358.0,99916.0,,99916.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,431,NoiseAgent,,2021-02-05 09:23:46,ABM,21.0,Side.ASK,488.0,,,99976.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,431,NoiseAgent,,2021-02-05 09:23:46,ABM,21.0,Side.ASK,488.0,99976.0,,99976.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,456,NoiseAgent,,2021-02-05 09:36:33,ABM,100.0,Side.BID,783.0,,,99928.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,456,NoiseAgent,,2021-02-05 09:36:33,ABM,95.0,Side.BID,783.0,99928.0,,99928.0,False,False,False,False,0.0,,,,
10,1612517794741343598,ORDER_EXECUTED,,456,NoiseAgent,,2021-02-05 09:36:33,ABM,5.0,Side.BID,783.0,99928.0,,99928.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,459,NoiseAgent,,2021-02-05 09:30:49,ABM,100.0,Side.BID,635.0,,,99987.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,459,NoiseAgent,,2021-02-05 09:30:49,ABM,26.0,Side.BID,635.0,99987.0,,99987.0,False,False,False,False,0.0,,,,
10,1612517450887101156,ORDER_EXECUTED,,459,NoiseAgent,,2021-02-05 09:30:49,ABM,74.0,Side.BID,635.0,99987.0,,99987.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,462,NoiseAgent,,2021-02-05 09:25:17,ABM,100.0,Side.BID,516.0,,,99981.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,462,NoiseAgent,,2021-02-05 09:25:17,ABM,93.0,Side.BID,516.0,99981.0,,99981.0,False,False,False,False,0.0,,,,
10,0,ORDER_EXECUTED,,462,NoiseAgent,,2021-02-05 09:25:17,ABM,7.0,Side.BID,516.0,99981.0,,99981.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,463,NoiseAgent,,2021-02-05 09:06:54,ABM,8.0,Side.BID,127.0,,,100033.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,463,NoiseAgent,,2021-02-05 09:06:54,ABM,3.0,Side.BID,127.0,100033.0,,100033.0,False,False,False,False,0.0,,,,
10,0,ORDER_EXECUTED,,463,NoiseAgent,,2021-02-05 09:06:54,ABM,5.0,Side.BID,127.0,100033.0,,100033.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,464,NoiseAgent,,2021-02-05 09:30:40,ABM,26.0,Side.ASK,631.0,,,99987.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,464,NoiseAgent,,2021-02-05 09:30:40,ABM,26.0,Side.ASK,631.0,99987.0,,99987.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,465,NoiseAgent,,2021-02-05 09:59:06,ABM,11.0,Side.ASK,1523.0,,,99900.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,465,NoiseAgent,,2021-02-05 09:59:06,ABM,11.0,Side.ASK,1523.0,99900.0,,99900.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,478,NoiseAgent,,2021-02-05 09:18:54,ABM,100.0,Side.BID,370.0,,,99972.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,478,NoiseAgent,,2021-02-05 09:18:54,ABM,46.0,Side.BID,370.0,99972.0,,99972.0,False,False,False,False,0.0,,,,
10,1612516737509754945,ORDER_EXECUTED,,478,NoiseAgent,,2021-02-05 09:18:54,ABM,54.0,Side.BID,370.0,99972.0,,99972.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,487,NoiseAgent,,2021-02-05 09:48:10,ABM,100.0,Side.BID,1239.0,,,99945.0,False,False,False,False,0.0,,,,
7,0,ORDER_EXECUTED,,487,NoiseAgent,,2021-02-05 09:48:10,ABM,2.0,Side.BID,1239.0,99945.0,,99945.0,False,False,False,False,0.0,,,,
10,1612518492945562022,ORDER_EXECUTED,,487,NoiseAgent,,2021-02-05 09:48:10,ABM,98.0,Side.BID,1239.0,99945.0,,99945.0,False,False,False,False,0.0,,,,
6,0,ORDER_SUBMITTED,,491,NoiseAgent,,2021-02-05 09:10:37,ABM,100.0,Side.ASK,203.0,,,99995.0,False,False,False,False,0.0,,,,
