,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,fee,ABM
6,1612530000005489448,ENDING_CASH,10000000,47,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,48,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,1612530000004429307,ENDING_CASH,10000000,48,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,49,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,49,NoiseAgent,6100.0,,,,,,,,,,,,,,100.0
14,1612530000003471252,ENDING_CASH,10006700,49,NoiseAgent,10006700.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,50,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000002759727,ENDING_CASH,10000000,50,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,51,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,51,NoiseAgent,10500080.0,,,,,,,,,,,,,,-5.0
14,1612530000008563218,ENDING_CASH,10000050,51,NoiseAgent,10000050.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,52,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,52,NoiseAgent,16899172.0,,,,,,,,,,,,,,-69.0
13,1612522103359337357,HOLDINGS_UPDATED,,52,NoiseAgent,19998800.0,,,,,,,,,,,,,,-100.0
18,1612530000005525228,ENDING_CASH,9998200,52,NoiseAgent,9998200.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,53,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,1612530000001744256,ENDING_CASH,10000000,53,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,54,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,1612530000007979630,ENDING_CASH,10000000,54,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,55,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000007861858,ENDING_CASH,10000000,55,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,56,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000002909516,ENDING_CASH,10000000,56,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,57,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,57,NoiseAgent,16899172.0,,,,,,,,,,,,,,-69.0
13,1612522194039572392,HOLDINGS_UPDATED,,57,NoiseAgent,26897972.0,,,,,,,,,,,,,,-169.0
16,1612522194774640506,HOLDINGS_UPDATED,,57,NoiseAgent,36896772.0,,,,,,,,,,,,,,-269.0
19,1612522197346604532,HOLDINGS_UPDATED,,57,NoiseAgent,46895572.0,,,,,,,,,,,,,,-369.0
22,1612522198768060241,HOLDINGS_UPDATED,,57,NoiseAgent,49995200.0,,,,,,,,,,,,,,-400.0
27,1612530000003002975,ENDING_CASH,9992800,57,NoiseAgent,9992800.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,58,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000008730892,ENDING_CASH,10000000,58,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,59,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000006322841,ENDING_CASH,10000000,59,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,60,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,60,NoiseAgent,9400330.0,,,,,,,,,,,,,,6.0
14,1612530000003867832,ENDING_CASH,10000366,60,NoiseAgent,10000366.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,61,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,61,NoiseAgent,15996040.0,,,,,,,,,,,,,,-60.0
13,0,HOLDINGS_UPDATED,,61,NoiseAgent,19993400.0,,,,,,,,,,,,,,-100.0
18,1612530000002162704,ENDING_CASH,9992800,61,NoiseAgent,9992800.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,62,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,0,HOLDINGS_UPDATED,,62,NoiseAgent,13197920.0,,,,,,,,,,,,,,-32.0
13,1612519607194737620,HOLDINGS_UPDATED,,62,NoiseAgent,19993500.0,,,,,,,,,,,,,,-100.0
18,1612530000008365777,ENDING_CASH,9992900,62,NoiseAgent,9992900.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,63,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,1612530000004283880,ENDING_CASH,10000000,63,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,64,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000004800625,ENDING_CASH,10000000,64,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,65,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000007670088,ENDING_CASH,10000000,65,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,66,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000002061901,ENDING_CASH,10000000,66,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,67,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000003984522,ENDING_CASH,10000000,67,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,68,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000002488091,ENDING_CASH,10000000,68,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,69,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000008677443,ENDING_CASH,10000000,69,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,70,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,1612530000001106547,ENDING_CASH,10000000,70,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,71,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000001455978,ENDING_CASH,10000000,71,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,72,NoiseAgent,10000000.0,,,,,,,,,,,,,,
9,1612530000002212213,ENDING_CASH,10000000,72,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,73,NoiseAgent,10000000.0,,,,,,,,,,,,,,
6,1612530000002905908,ENDING_CASH,10000000,73,NoiseAgent,10000000.0,,,,,,,,,,,,,,
2,1612483200000000000,HOLDINGS_UPDATED,,74,NoiseAgent,10000000.0,,,,,,,,,,,,,,
