,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,time_placed,symbol,quantity,side,order_id,fill_price,tag,limit_price,is_hidden,is_price_to_comply,insert_by_id,is_post_only,ABM,cash,holdings,mark_to_marked_holdings,total_depot_value,profit
825,1612520244962546512,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:17:24,ABM,71.0,Side.ASK,19801.0,99946.0,,99946.0,False,False,False,False,,,,,,
835,1612520248896110550,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:17:24,ABM,29.0,Side.ASK,19801.0,99946.0,,99946.0,False,False,False,False,,,,,,
848,1612520332201312198,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:18:52,ABM,27.0,Side.ASK,19929.0,99947.0,,99947.0,False,False,False,False,,,,,,
862,1612520344728032708,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:19:04,ABM,59.0,Side.ASK,19952.0,99944.0,,99944.0,False,False,False,False,,,,,,
871,1612520344728032758,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:19:04,ABM,41.0,Side.ASK,19952.0,99944.0,,99944.0,False,False,False,False,,,,,,
884,1612520345402531506,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:19:05,ABM,46.0,Side.ASK,19953.0,99944.0,,99944.0,False,False,False,False,,,,,,
897,1612520399153940406,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:19:59,ABM,58.0,Side.ASK,20071.0,99918.0,,99918.0,False,False,False,False,,,,,,
911,1612520403364125412,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:20:03,ABM,4.0,Side.ASK,20075.0,99916.0,,99916.0,False,False,False,False,,,,,,
920,1612520403364125462,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:20:03,ABM,22.0,Side.ASK,20075.0,99916.0,,99916.0,False,False,False,False,,,,,,
929,1612520403364125512,ORDER_EXECUTED,,1105,MomentumAgent,,2021-02-05 10:20:03,ABM,74.0,Side.ASK,20075.0,99916.0,,99916.0,False,False,False,False,,,,,,
