Column1,EventTime,EventType,ScalarEventValue,agent_id,agent_type,CASH,cash2,holdings,mark_to_marked_holdings,total_depot_value,profit
1424,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,674107337,"{'CASH': 757693713, 'ABM': -7490}",10125647,-663981690,125647
1437,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,675206479,"{'CASH': 757693713, 'ABM': -7490}",10125647,-665080832,125647
1447,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,684099537,"{'CASH': 757693713, 'ABM': -7490}",10125647,-673973890,125647
1460,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,687197088,"{'CASH': 757693713, 'ABM': -7490}",10125616,-677071472,125616
1469,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,694091637,"{'CASH': 757693713, 'ABM': -7490}",10125547,-683966090,125547
1482,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,703484211,"{'CASH': 757693713, 'ABM': -7490}",10125453,-693358758,125453
1496,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,710378622,"{'CASH': 757693713, 'ABM': -7490}",10146270,-700232352,146270
1505,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,713476111,"{'CASH': 757693713, 'ABM': -7490}",10146270,-703329841,146270
1514,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,714075637,"{'CASH': 757693713, 'ABM': -7490}",10146282,-703929355,146282
1527,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,719671213,"{'CASH': 757693713, 'ABM': -7490}",10132192,-709539021,132192
1537,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,724067737,"{'CASH': 757693713, 'ABM': -7490}",10132192,-713935545,132192
1550,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,726366012,"{'CASH': 757693713, 'ABM': -7490}",10103612,-716262400,103612
1559,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,734060237,"{'CASH': 757693713, 'ABM': -7490}",10103612,-723956625,103612
1572,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,744053337,"{'CASH': 757693713, 'ABM': -7490}",10052797,-734000540,52797
1585,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,754046037,"{'CASH': 757693713, 'ABM': -7490}",10096967,-743949070,96967
1594,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,764038737,"{'CASH': 757693713, 'ABM': -7490}",10097067,-753941670,97067
1607,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,764538377,"{'CASH': 757693713, 'ABM': -7490}",10081977,-754456400,81977
1620,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,765437702,"{'CASH': 757693713, 'ABM': -7490}",10104627,-755333075,104627
1633,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,767935852,"{'CASH': 757693713, 'ABM': -7490}",10089484,-757846368,89484
1642,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,775430302,"{'CASH': 757693713, 'ABM': -7490}",10089409,-765340893,89409
1655,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,782023702,"{'CASH': 757693713, 'ABM': -7490}",10280752,-771742950,280752
1665,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,785420302,"{'CASH': 757693713, 'ABM': -7490}",10280684,-775139618,280684
1678,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,785819942,"{'CASH': 757693713, 'ABM': -7490}",10218612,-775601330,218612
1691,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,795210824,"{'CASH': 757693713, 'ABM': -7490}",10272953,-784937871,272953
1700,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,795810242,"{'CASH': 757693713, 'ABM': -7490}",10272953,-785537289,272953
1713,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,805800442,"{'CASH': 757693713, 'ABM': -7490}",10272853,-795527589,272853
1726,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,815790642,"{'CASH': 757693713, 'ABM': -7490}",10272753,-805517889,272753
1739,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,816489963,"{'CASH': 757693713, 'ABM': -7490}",10264683,-806225280,264683
1753,1.61252E+18,DEPOT_UPDATE,,1105,MomentumAgent,,822983398,"{'CASH': 757693713, 'ABM': -7490}",10288763,-812694635,288763
